CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Gundemadakala B.O",524228,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Tellapadu B.O",524228,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Singapeta B.O",524315,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Taticherlapalem B.O",524315,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Bedusupalli B.O",524302,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Kethugunta B.O",524302,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Lingamgunta B.O",524302,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Kondlapudi B.O",524004,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Mulumudi B.O",524004,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
"Andhra Pradesh Circle","Vijayawada Region","Nellore Division","Peddabbipuram B.O",524304,BO,Delivery,"SPSR NELLORE","ANDHRA PRADESH"
